A1             pred_score
storeID               
텐동요츠야         0.021275
킷사서울          0.014868
스윗밸런스 샤로수점    0.012493
더멜팅팟          0.011591
옷살            0.011266
삼백돈돈가츠 본점     0.010686
온돌            0.010543
나인온스버거_y      0.010483
나인온스버거_x      0.010478
일점사           0.010177
A2                    pred_score
storeID                      
짬뽕지존 봉천점             0.006715
교촌치킨 신림3호점           0.006405
복돈이생고기               0.006380
광어2마리15000원&포장전문점    0.006214
동대문엽기떡볶이 서울대입구점      0.006197
리스팬케이크               0.006117
그날의브런치               0.006109
삼청당 서울대점             0.006106
도적숯불구이               0.006058
삼미옥                  0.006049
A3            pred_score
storeID              
텐동요츠야        0.017099
더멜팅팟         0.010687
킷사서울         0.009671
로향양꼬치        0.009447
기절초풍왕순대      0.009248
모힝_y         0.009184
모힝_x         0.009121
나인온스버거_x     0.008774
삼백돈돈가츠 본점    0.008750
옷살           0.008680
A4             pred_score
storeID               
텐동요츠야         0.018068
쟝블랑제리         0.013851
모힝_x          0.013812
모힝_y          0.013434
티라노커피         0.012569
더멜팅팟          0.012457
나인온스버거_x      0.012386
쥬벤쿠바          0.012108
나인온스버거_y      0.011738
스윗밸런스 샤로수점    0.011609
A5          pred_score
storeID            
쟝블랑제리      0.009433
텐동요츠야      0.008468
킷사서울       0.008386
티라노커피      0.007104
옷살         0.006652
제주상회       0.006623
오월의김밥      0.006495
퍼블리코타코     0.006171
에그썸        0.006000
더멜팅팟       0.005978
A6            pred_score
storeID              
텐동요츠야        0.010784
로향양꼬치        0.010593
킷사서울         0.010372
에그썸          0.009484
마이무          0.009278
더멜팅팟         0.009204
나인온스버거_x     0.009082
문득           0.008861
삼백돈돈가츠 본점    0.008835
제주상회         0.008823
A7             pred_score
storeID               
에그썸           0.013196
쟝블랑제리         0.012654
킷사서울          0.012342
나인온스버거_x      0.012293
나인온스버거_y      0.012166
쥬벤쿠바          0.012070
온고지신          0.011465
더멜팅팟          0.011455
스윗밸런스 샤로수점    0.011407
마이무           0.011187
A8          pred_score
storeID            
동경산책       0.009367
하라고지페      0.008279
킷사서울       0.008043
온돌         0.007981
사케바히토리     0.007423
오삼숙이       0.007400
스태미나       0.007393
나인온스       0.007212
섭지수산       0.007070
낭만모로코      0.007041
A9          pred_score
storeID            
텐동요츠야      0.010682
더멜팅팟       0.007912
킷사서울       0.007450
카페폴        0.007234
문득         0.006968
일점사        0.006749
온고지신       0.006582
옷살         0.006522
온돌         0.006515
퍼블리코타코     0.006382
A10           pred_score
storeID             
온돌          0.009831
킷사서울        0.009143
텐동요츠야       0.008014
아궁이 빙수      0.007939
일점사         0.007884
서울테이블       0.007645
베이컨시        0.007560
화상손만두.1     0.007497
24시 서울밥집    0.007497
고베규카츠       0.007495
A11            pred_score
storeID              
에그썸          0.009172
킷사서울         0.008532
쟝블랑제리        0.008446
더멜팅팟         0.007499
나인온스버거_x     0.007482
나인온스버거_y     0.007363
제주상회         0.007061
라미스콘 샤로수점    0.006927
안녕부산         0.006870
로향양꼬치        0.006808
A12            pred_score
storeID              
모힝_y         0.013592
모힝_x         0.013492
모힝 낙성대점_x    0.009347
킷사서울         0.008868
광고모힝 낙성대점    0.007966
모힝 낙성대점_y    0.007966
모다모다         0.007019
텐동요츠야        0.006791
