userID,2동초밥,406카페,60계 신림점,88순대,KT 에이치커넥션 창동본점,KT 에이치커넥션 창동역1호점,TheB컵닭,가장맛있는곱창 곱과의동침 부추곱창,감성타코 가로수길점,감성타코 건대점,감자바우묵동영양족발,강천산,개미집 신림점,고미푸딩,고시촌 해장국,고시칼국수,고시칼국수냉면 2호점,고피자 서울대점,광고신선횟집,광명대창집 신림점,교동짬뽕 수유본점,교토스시,교토신,구백냥곱창,구백냥곱창 중계점,기막힌포차,길회뜨다,김정순명인의집,김종용누룽지통닭 신림점,꼴목,남도묵은지맛집,남원전통추어탕,남원추어탕,낮마실그리고밤,낮부엉이,내친구김밥,노랑통닭 방학점,노랑통닭 쌍문역점,놀멍쉬멍,다인고시부페,닭발촌이야기속으로,더오믈렛,동네형아,동식이바,두둑한샤브칼국수 신림점,두둑한샤브칼국수 영등포구청역점,두로스피자,두륜산,두리쪽갈비앤닭발,땅끝마을,또순이순대 본점,롯데시네마 노원,롯데시네마 수유,리춘시장 신림역점,리코부리또 명지대점,마늘오리,마루김밥,마루자연식김밥,마실밤,마티스커피 본점,마티스커피 신림점,맛내음왕소금구이 아산탕정점,맛있는밥집 쿠킹마마,맥주창고 창동점,명동피자 신림점,명운추어탕,모르비도,묘향,묘향손만두,미나리생삼겹 3호점,미남대게 사당역점,미남대게 신림점,미림산장,미림통통,미쿠,바로김밥 2호점,바우네나주곰탕 방학역점,박자연착한음식이야기,반올림피자샵 서울신림점,발루토,배바우,배할머니네,백제갈비촌 본점,버거랩,버거브라더,버거브라더1981 쌍문점,버금새우 신림본점,버드나무순대국,베테랑,별똥비어,보라매식당,복돈이부추삼겹살 사당본점,복돈이부추삼겹살 서울대입구점,봄블룸봄 온더테이블,부리또리꼬 신림점,브롱스 상도역점,브롱스 서울대입구점,블룸앤테이블,빠사삭,삼거리식당,삼시네끼,삼시네끼 동편점,삼촌네,삼촌네농장,상군이네고깃집,새만금횟집,서울곰탕,성민양꼬치,성빈각,성수가수제생등심돈가스,세로토닌,소문난 생오리돌판구이,소문난만나식당,소문난순대국,소문난쌈밥,소문난원조쌈밥,소문난청국장,소야돼지야,손가네민물장어 본점,솟을대문 신림역점,수담쿡,수유부추곱창,순천식당,순천집,술밤,스톡홀름 샐러드,스톡홀름샐러드,신림동또순이순대 광명사거리역점,신림동피자집,신림황소곱창,신사리포차,신사리포차 시흥점,신서서갈비2 본사직영점,신세대순대,신참떡볶이 노원상계점,신참떡볶이 마들역점,신참떡볶이 신림녹두점,심봉사도로케 신림대학점,쌍문동호남집,아메리칸디트로이트피자,아아수혈 신림직영점,아재파스타,양지순천집,양지순천집백순대N오볶&멀티커피 마곡방화점,엄마랑꿀꽈배기,엄마손맛꼬리곰탕,여러분평양냉면,여향짬뽕,역전할머니맥주 서울신림점,연어상점 신림본점,연어상점 제3호점,연하남,엽전식당,영광식당,영통찌개지존 광명점,옛날불고기,오천눈꽃냉면,올바른숙성회,와인어클락,와인어클락 역삼점,왕짜장,요달의 찜닭,요달의 찜닭 건국대점,우된장 신림점,우드스탁,우리동네정육식당,우리축산정육식당,우리콩손두부,육미정담,육쌈냉면 노원점,육쌈냉면 민락2지구점,육쌈냉면 창동점,이름없는파스타 대학동점,이모네포차,이성당 본관,일구칠구 동태매운탕전문점 용산역점,일구칠구매운탕 본점,일미순대국밥,임지유참다랑어 관악본점,잇츠초밥,장발장빵훔쳐간집,전라도맛내음,전라도집봉수네,전주익산집,전주현대옥 서울신림역점,정남옥,정다운가정의학과의원,정원쌈밥보리밥,제이스타일러,조개특별시,진마라탕,진화쿵부마라탕 광명점,짱구한식분식,쪽갈비예감 신림점,찌개가맛있는집,차이나영,찰리삼촌포장마차,천봉산,청년포차,청라토방닭한마리,초밥만양주 고읍점,초원,최고집,최곱창,충남식당,카페녹다,케이애드,케이존코인노래연습장,케이투렌트카 강릉지점,코스믹버거랩,킹콩부대찌개 신림역점,탐앤탐스 삼모타워신림역점,탑퓨전포차무한리필,테마라면 명일점,테마분식,토담,토방닭한마리 본점,통통갈비 화곡본점,통통솥뚜껑삼겹살,통통호프앤포차,틈새라면 노원점,틈새라면 방학점,펠리치따,펠리치타36,평양칼국수,포36거리 대학동점,포36거리 신림역점,푸드밸리,푸라닭치킨 신림점,푸른고래정신건강의학과의원,프레드피자 성북점,플라워제이(FLOWERJ),피자에땅 신림점,피자헛 신림동점,피제이피자 구로점,하와이조개,하와이조개 일산라페스타점,함지박치즈등갈비 신림2호점,핫도리탕,햇빛식당,혼맛스시,홍마떡 신림점,황솔촌 충장점,흥부족발보쌈,흥부찜닭 공수간 삼겹본능 신림점,희래등 호계본점,희래원
100atqi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100c8lt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100is6n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100q04c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100ru3c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101ag5k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101hval,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023ds5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102ldca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102vs82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
